GHO_DISPLAY,STARTYEAR,DIMENSION_TYPE,DIMENSION_NAME,Numeric
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,WEALTHQUINTILE,Total,11.6999998092651
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Rural,3.40000009536743
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Higher education,1.79999995231628
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Total,10.1999998092651
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,WEALTHQUINTILE,Q5 (Richest),13.1999998092651
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q1 (Poorest),13.1999998092651
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q2,1.89999997615814
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,None,53
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Total,6.80000019073486
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Total,42.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q5 (Richest),2.09999990463257
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary or higher,18
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,None,34.2999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Total,36.7999992370605
